packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
337,1739284573.65964,TLS,10.12.16.216,216.58.204.138,TCP,0x0303,1991,5748,131072,24,51375,443,0.00010800361633300781,8,1337,8,0,,,Unknown
373,1739284573.659674,TLS,10.12.16.216,216.58.204.138,TCP,0x0303,2274,5748,131072,24,51375,443,3.3855438232421875e-05,9,1710,9,0,,,Unknown
56,1739284573.675449,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,1,1381,268544,16,443,51377,0.015774965286254883,2,122,2,1,,,Unknown
56,1739284573.675449,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,1,1821,268288,16,443,51377,0.0,3,178,3,1,,,Unknown
1434,1739284573.692385,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,1,1821,268288,16,443,51377,0.008334875106811523,4,1612,4,1,,2.0,Unknown
1434,1739284573.692385,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,1381,1821,268288,24,443,51377,0.0,5,3046,5,1,,,Unknown
1434,1739284573.692385,TCP,142.251.209.36,10.12.16.216,TCP,Unknown,2761,1821,268288,16,443,51377,0.0,6,4480,6,1,,,Unknown
1262,1739284573.692385,TLS,142.251.209.36,10.12.16.216,TCP,0x0303,4141,1821,268288,24,443,51377,0.0,7,5742,7,1,,,Unknown
54,1739284573.69248,TCP,10.12.16.216,142.251.209.36,TCP,Unknown,1821,5349,131072,16,51377,443,9.512901306152344e-05,4,668,4,0,,,Unknown
128,1739284573.697774,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,1821,5349,131072,24,51377,443,0.005293846130371094,5,796,5,1,,,Unknown
146,1739284573.698879,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,1895,5349,131072,24,51377,443,0.00014209747314453125,6,942,6,0,,,Unknown
891,1739284573.699105,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,3367,5349,131072,24,51377,443,0.00022602081298828125,7,1833,7,0,,,Unknown
147,1739284573.700245,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4204,5349,131072,24,51377,443,9.584426879882812e-05,8,1980,8,0,,,Unknown
56,1739284573.702937,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,1,1381,268544,16,443,51376,0.002691984176635742,2,122,2,1,,,Unknown
56,1739284573.702937,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,1,1730,268288,16,443,51376,0.0,3,178,3,1,,,Unknown
1434,1739284573.704127,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,1,1730,268288,16,443,51376,0.001190185546875,4,1612,4,1,,2.0,Unknown
